email,phone_number,age,age_group,credit_score,family_background,income,intent,comments
erinirwin@example.com,+91 7652376568,35,26-35,755,Married,843480.04,Low,"Looking for basic options only, nothing too complex"
jonesvanessa@example.net,+91 6811422645,50,46-55,760,Married with Children,2079643.41,High,"Current solution is not meeting our needs, exploring alternatives"
jstanton@example.org,+91 9999321950,57,56-65,777,Married,2294084.56,High,"Budget approved by management, ready to proceed"
nfreeman@example.net,+91 8477707745,27,26-35,653,Married with Children,1615238.84,High,"Willing to pay for quality service, budget is not a constraint"
davismichelle@example.net,+91 8022423530,52,46-55,695,Single Parent,689362.45,High,"Budget approved by management, ready to proceed"
murphycynthia@example.com,+91 8902781093,44,36-45,661,Single Parent,700082.1,Low,Interested but needs approval from my manager first
smartinez@example.org,+91 7011052876,38,36-45,703,Married with Children,1440515.62,High,"Attended your webinar, convinced about the value proposition"
jasonfrank@example.com,+91 9114058029,48,46-55,820,Married with Children,2915132.98,High,"Current solution is not meeting our needs, exploring alternatives"
ellismelissa@example.com,+91 6260653953,19,18-25,678,Single,566673.4,Low,"Timeline is flexible, but quality is most important factor"
ikeith@example.com,+91 9233102972,64,56-65,808,Single,1520328.53,High,"Current solution is not meeting our needs, exploring alternatives"
rodriguezpatrick@example.com,+91 6851091071,44,36-45,800,Married with Children,1536091.52,High,"Attended your webinar, convinced about the value proposition"
noahjones@example.net,+91 6889489769,82,65+,806,Married,1199997.26,High,"My colleague recommended your service, very interested"
jill69@example.net,+91 7043371018,39,36-45,705,Married with Children,782098.69,Low,Interested but needs approval from my manager first
michael22@example.com,+91 9749198437,38,36-45,709,Married,1556041.08,High,"Need urgent solution for my project, can we fast-track this?"
qbennett@example.org,+91 8847201498,25,18-25,778,Single,444303.64,Low,Need to understand if this is really necessary for us
cathy03@example.net,+91 9776150439,50,46-55,820,Married,1854798.77,High,"Budget approved by management, ready to proceed"
aaron25@example.com,+91 8529793110,44,36-45,818,Married,2332253.37,High,"Need urgent solution for my project, can we fast-track this?"
chandlertiffany@example.com,+91 8654860714,22,18-25,673,Single,592948.59,Low,Might purchase in the next few months if budget allows
sara48@example.com,+91 9694205319,32,26-35,618,Married with Children,565366.78,Low,Waiting for next quarter budget allocation to decide
itaylor@example.net,+91 6678196392,33,26-35,705,Married with Children,1256062.63,High,Ready to make a purchase decision within this week
ashleyturner@example.org,+91 6951318173,27,26-35,765,Married,1262284.78,High,Looking for high-quality solutions for my business needs
carlbuckley@example.com,+91 8709328349,37,36-45,450,Married with Children,1792503.69,Low,"Too many features, looking for something simpler"
ssimon@example.org,+91 7589347443,50,46-55,820,Married with Children,2767553.21,High,"Very interested in premium products, please schedule a demo"
gloria49@example.org,+91 8829349497,41,36-45,771,Married with Children,2182697.91,High,"Need urgent solution for my project, can we fast-track this?"
michaelwilson@example.net,+91 8605678510,32,26-35,671,Married,716148.61,Low,"Current solution works fine, just checking alternatives"
dfox@example.net,+91 6198953338,30,26-35,642,Married with Children,1783599.04,High,"Very interested in premium products, please schedule a demo"
jason20@example.com,+91 9160704966,52,46-55,666,Married with Children,1647925.93,High,"Impressed with your product features, let's discuss pricing"
aguilarjustin@example.com,+91 8335300016,32,26-35,664,Single,456166.76,Low,"Current solution works fine, just checking alternatives"
bcurtis@example.org,+91 9475583858,27,26-35,820,Married,1432363.86,Low,"Timeline is flexible, but quality is most important factor"
brettrice@example.com,+91 9845076924,25,18-25,619,Single,793336.21,High,"Had a great experience with your competitor, want to switch"
brownjennifer@example.net,+91 9272277767,55,46-55,800,Married with Children,2060013.44,High,"Current solution is not meeting our needs, exploring alternatives"
fhanna@example.com,+91 6655167725,18,18-25,647,Single,629256.12,Low,Need to focus on core business first before expanding
brandinguyen@example.org,+91 7259606244,47,46-55,721,Single Parent,1167914.4,High,Comparing different premium options but leaning towards your product
jeremy78@example.com,+91 7535343804,59,56-65,687,Single,509889.09,Low,Need to focus on core business first before expanding
crystallandry@example.org,+91 7142017668,27,26-35,656,Single,474103.03,Low,Comparing features and prices with 2-3 other vendors
elindsey@example.net,+91 6554965850,29,26-35,678,Single,789611.76,Low,Interested but needs approval from my manager first
ndavis1@example.net,+91 7120895982,30,26-35,740,Married,1532045.69,High,"Had a great experience with your competitor, want to switch"
umccoy@example.com,+91 9993044316,32,26-35,595,Single,653069.57,Low,Product looks good but need to understand implementation process
david70@example.com,+91 6287374971,62,56-65,820,Married,2308582.41,High,"Budget approved by management, ready to proceed"
thomasronald@example.net,+91 6967321561,38,36-45,692,Single Parent,1015780.21,High,Expansion plans require robust solution like yours
johnstokes@example.org,+91 6013371085,41,36-45,644,Married with Children,977880.15,High,Comparing different premium options but leaning towards your product
sheri23@example.org,+91 7412322215,26,26-35,624,Single,863511.5,High,Ready to make a purchase decision within this week
ljohnson@example.org,+91 9538245906,45,36-45,777,Divorced,1195573.49,High,"My colleague recommended your service, very interested"
lopezwayne@example.com,+91 9702006680,44,36-45,742,Single Parent,1178091.93,High,Looking for high-quality solutions for my business needs
renee05@example.org,+91 7054877984,42,36-45,820,Married with Children,1826020.99,High,"Willing to pay for quality service, budget is not a constraint"
keithdavis@example.com,+91 7026950551,44,36-45,792,Married,1034642.87,Low,"Considering options carefully, need more technical details"
anthonyortiz@example.org,+91 8429349548,51,46-55,716,Married with Children,889604.29,High,"Looking for long-term partnership, not just one-time purchase"
edwardsjonathan@example.net,+91 6090368183,32,26-35,695,Single,794163.85,Low,"Too many features, looking for something simpler"
andrewbird@example.com,+91 6167545189,53,46-55,450,Married with Children,3145341.49,High,"Looking for long-term partnership, not just one-time purchase"
norozco@example.net,+91 9797591311,74,65+,771,Married,1332559.78,High,"ROI calculations look promising, let's move forward"
davidfarrell1@example.com,+91 9804214260,42,36-45,719,Married,896208.49,High,"Budget approved by management, ready to proceed"
johnsonluis@example.net,+91 7379854309,51,46-55,817,Married with Children,2446612.48,High,Ready to make a purchase decision within this week
jackthompson@example.com,+91 7146841335,27,26-35,689,Married with Children,1082665.51,Low,Budget constraints prevent immediate purchase
btaylor@example.org,+91 8368281439,42,36-45,744,Single Parent,1401076.19,High,Comparing different premium options but leaning towards your product
jeffersondaniel@example.org,+91 9284927178,35,26-35,657,Married with Children,665222.5,Low,Economic uncertainty makes us cautious about new purchases
amanda33@example.net,+91 9855298714,26,26-35,450,Married with Children,812721.46,Low,"Small business, concerned about ongoing costs"
leedarlene@example.com,+91 8567832991,39,36-45,820,Married,2298911.5,High,Expansion plans require robust solution like yours
zacharymoses@example.org,+91 8821179299,28,26-35,805,Married,1311885.86,High,"Need urgent solution for my project, can we fast-track this?"
ericquinn@example.com,+91 9120348063,37,36-45,640,Married,1401716.12,Low,Might purchase in the next few months if budget allows
marisa64@example.com,+91 9916700646,57,56-65,816,Married,1669501.04,High,"Looking for long-term partnership, not just one-time purchase"
jaylopez@example.com,+91 6806389036,22,18-25,667,Single,300000.0,Low,Product looks good but need to understand implementation process
kendra49@example.com,+91 9273446709,23,18-25,749,Married,755563.26,Low,"Heard about your company, wanted to check what you offer"
lmcguire@example.com,+91 9298001638,52,46-55,820,Married with Children,2052859.93,High,"Very interested in premium products, please schedule a demo"
rjordan@example.org,+91 6826712628,34,26-35,642,Married,819020.57,Low,Interested but needs approval from my manager first
blairbrandy@example.com,+91 7526645578,41,36-45,702,Married with Children,1586313.76,High,"Very interested in premium products, please schedule a demo"
samuelchavez@example.net,+91 6919047449,26,26-35,697,Married with Children,662363.25,Low,Need to understand if this is really necessary for us
pweber@example.com,+91 6272446391,28,26-35,677,Married,654345.65,Low,"Evaluating multiple solutions, yours is in top 3 contenders"
gregory73@example.com,+91 8475096338,75,65+,749,Divorced,816956.03,High,"Need urgent solution for my project, can we fast-track this?"
fdavenport@example.com,+91 6555365466,30,26-35,674,Married with Children,1453425.0,Low,"Considering options carefully, need more technical details"
wendyholden@example.com,+91 9710993192,81,65+,815,Married,888969.85,High,"Had a great experience with your competitor, want to switch"
lisa91@example.com,+91 9601893395,44,36-45,649,Single Parent,961059.06,Low,Might purchase in the next few months if budget allows
ygallagher@example.org,+91 8900715795,32,26-35,684,Single,1072120.11,High,"Current solution is not meeting our needs, exploring alternatives"
kristin80@example.net,+91 7281882491,48,46-55,680,Divorced,722365.02,High,"Looking for long-term partnership, not just one-time purchase"
gbutler@example.com,+91 6068597864,29,26-35,604,Married with Children,609994.42,High,"Impressed with your product features, let's discuss pricing"
xpatton@example.org,+91 7050842039,44,36-45,711,Married,1691509.18,High,"Looking for long-term partnership, not just one-time purchase"
richardperkins@example.com,+91 9547918017,33,26-35,745,Single,1029393.88,High,"Willing to pay for quality service, budget is not a constraint"
keithalexander@example.com,+91 6731919895,65,56-65,820,Single,1625924.21,High,"Current solution is not meeting our needs, exploring alternatives"
uhamilton@example.net,+91 9523679897,40,36-45,820,Married with Children,2148897.16,High,"ROI calculations look promising, let's move forward"
matthewhoffman@example.net,+91 9594897555,22,18-25,618,Single,722828.48,Low,"Just browsing for now, collecting information for future"
omartinez1@example.net,+91 7898812715,38,36-45,778,Single Parent,532067.66,Low,"Not the decision maker, just gathering information"
julie24@example.org,+91 7412704285,49,46-55,820,Married with Children,3043701.92,High,"Willing to pay for quality service, budget is not a constraint"
lsnyder@example.org,+91 7079968199,30,26-35,787,Single,1039688.38,High,Ready to make a purchase decision within this week
dakota71@example.org,+91 7761430444,46,46-55,820,Married with Children,1745297.31,High,Comparing different premium options but leaning towards your product
sboyer@example.com,+91 6239296395,43,36-45,649,Married with Children,1812478.0,High,"Willing to pay for quality service, budget is not a constraint"
juliepayne@example.org,+91 8122430691,55,46-55,809,Single Parent,911968.35,Low,Interested but needs approval from my manager first
joseph46@example.net,+91 7029707193,28,26-35,673,Married,733571.23,Low,"Price is a major concern, looking for budget-friendly options"
vincent63@example.net,+91 6293861061,21,18-25,643,Single,648550.71,Low,"Not the decision maker, just gathering information"
gutierrezcraig@example.net,+91 6090174233,50,46-55,578,Single Parent,1417418.16,High,"Had a great experience with your competitor, want to switch"
kennethruiz@example.net,+91 7450952745,49,46-55,728,Married,1741798.67,High,"ROI calculations look promising, let's move forward"
christinagoodwin@example.net,+91 6762686308,35,26-35,721,Married,506872.43,Low,Economic uncertainty makes us cautious about new purchases
perrymichael@example.org,+91 9096300739,44,36-45,757,Single Parent,896072.81,High,"ROI calculations look promising, let's move forward"
garciapenny@example.net,+91 9619442175,30,26-35,626,Single,404272.02,Low,"Part of market research, not actively buying"
heatherdavis@example.org,+91 6464670305,46,46-55,703,Single Parent,661948.36,Low,Interested but needs approval from my manager first
crawfordjared@example.org,+91 7240065840,36,36-45,636,Married with Children,836766.95,Low,Budget constraints prevent immediate purchase
sbrown1@example.org,+91 7766807813,28,26-35,728,Married,720136.07,Low,"Timing is not right, maybe next year"
hahnjoshua@example.net,+91 9130187809,42,36-45,820,Married with Children,2266563.28,High,"Current solution is not meeting our needs, exploring alternatives"
jolsen@example.net,+91 7272749271,35,26-35,616,Married,497288.8,Low,"Just browsing for now, collecting information for future"
petersdonald@example.net,+91 6767476646,65,56-65,820,Divorced,1519561.5,High,"ROI calculations look promising, let's move forward"
audrey12@example.org,+91 6146068869,55,46-55,820,Married with Children,3014330.93,High,"Impressed with your product features, let's discuss pricing"
raymond39@example.com,+91 9806663598,44,36-45,680,Married with Children,1024573.67,Low,Waiting for next quarter budget allocation to decide
usanders@example.net,+91 8200975437,20,18-25,757,Married,875124.65,Low,Product looks good but need to understand implementation process
mary92@example.com,+91 8027404978,60,56-65,803,Single,1609804.62,High,"Very interested in premium products, please schedule a demo"
maxwell63@example.org,+91 9896974119,44,36-45,750,Married with Children,1194404.15,High,Ready to make a purchase decision within this week
stevenskaitlin@example.net,+91 6611683558,47,46-55,664,Married with Children,1374069.75,High,"Looking for long-term partnership, not just one-time purchase"
alexander69@example.com,+91 6977421391,27,26-35,668,Married with Children,1169529.89,Low,"Just browsing for now, collecting information for future"
holderdaniel@example.net,+91 8151437113,20,18-25,711,Single,606130.91,Low,"Considering options carefully, need more technical details"
ypark@example.net,+91 6371890772,28,26-35,678,Married,1179412.08,Low,Need to understand if this is really necessary for us
ashley19@example.com,+91 9204645901,18,18-25,677,Single,511177.83,Low,"Current solution works fine, just checking alternatives"
bmayo@example.com,+91 7092314486,42,36-45,820,Married with Children,2497608.23,High,"Willing to pay for quality service, budget is not a constraint"
jefferywalker@example.org,+91 8185958158,34,26-35,450,Married,1271498.77,Low,"Heard about your company, wanted to check what you offer"
garciapeter@example.org,+91 9453419690,19,18-25,594,Single,554932.24,Low,"Currently happy with existing solution, just exploring"
kristen90@example.org,+91 8992650465,62,56-65,782,Married,1331338.86,High,"ROI calculations look promising, let's move forward"
pparsons@example.net,+91 6269961529,36,36-45,797,Married with Children,1680189.39,High,"Budget approved by management, ready to proceed"
jessica01@example.org,+91 6417238942,46,46-55,744,Married,1095456.78,High,"Current solution is not meeting our needs, exploring alternatives"
jessestanton@example.org,+91 9790409813,21,18-25,706,Single,420525.02,Low,"Timing is not right, maybe next year"
alowery@example.com,+91 8509036428,54,46-55,759,Single Parent,1137220.57,High,"Need urgent solution for my project, can we fast-track this?"
susanhill@example.org,+91 6584996297,35,26-35,819,Single,641610.93,Low,"Price is a major concern, looking for budget-friendly options"
brandon98@example.net,+91 7135158596,29,26-35,663,Married,723785.04,Low,"Not ready to make a decision, still in research phase"
christopher01@example.com,+91 9468151919,40,36-45,717,Single Parent,511189.66,Low,Need references from similar companies in our industry
cburke@example.org,+91 9058465026,72,65+,760,Married,1007781.64,High,"Had a great experience with your competitor, want to switch"
regina11@example.com,+91 7888358577,28,26-35,820,Married with Children,723744.1,Low,"Looking for good value deals, can you provide better pricing?"
hesterbeth@example.net,+91 6579216936,81,65+,769,Married,799066.99,High,"Need urgent solution for my project, can we fast-track this?"
ingrambrandon@example.com,+91 7582272399,38,36-45,737,Single Parent,1174681.83,High,"Very interested in premium products, please schedule a demo"
patriciajohnson@example.net,+91 8328649070,28,26-35,687,Single,973682.29,Low,"Price is a major concern, looking for budget-friendly options"
hcastaneda@example.com,+91 6954753178,19,18-25,651,Single,744979.88,Low,Need to focus on core business first before expanding
adkinscharles@example.net,+91 8490179581,54,46-55,753,Single Parent,1061167.07,High,"Willing to pay for quality service, budget is not a constraint"
wrightdrew@example.org,+91 8240381089,40,36-45,790,Married with Children,1593536.55,High,"Attended your webinar, convinced about the value proposition"
wayne54@example.net,+91 8512310609,30,26-35,746,Married with Children,1412327.31,Low,"Not ready to make a decision, still in research phase"
pamela03@example.com,+91 9736503886,24,18-25,665,Single,339028.12,Low,"Considering options carefully, need more technical details"
charlesbrown@example.com,+91 7610113133,26,26-35,697,Married,644010.4,Low,"Small business, concerned about ongoing costs"
tuckersheila@example.net,+91 9880732612,40,36-45,708,Married with Children,983131.71,High,Ready to make a purchase decision within this week
harrisamy@example.org,+91 9936825225,59,56-65,820,Divorced,1036233.37,High,"Willing to pay for quality service, budget is not a constraint"
nguyentimothy@example.net,+91 7522322397,39,36-45,644,Married,1349547.39,High,"Very interested in premium products, please schedule a demo"
gibbsdarren@example.org,+91 7316970979,27,26-35,706,Married,964277.58,High,"Very interested in premium products, please schedule a demo"
aguilarkyle@example.org,+91 6114109411,20,18-25,659,Single,427682.93,Low,"Just browsing for now, collecting information for future"
kevinmarshall@example.org,+91 6721825145,39,36-45,716,Divorced,527758.14,Low,"Timeline is flexible, but quality is most important factor"
tarameyer@example.net,+91 7916790774,49,46-55,788,Married with Children,1096578.81,High,"Impressed with your product features, let's discuss pricing"
robertsdavid@example.net,+91 6090346207,51,46-55,801,Married with Children,2771861.28,High,"My colleague recommended your service, very interested"
trosales@example.com,+91 8293015641,38,36-45,672,Married with Children,925814.78,Low,"Small business, concerned about ongoing costs"
reginapeck@example.org,+91 8763300071,62,56-65,805,Married,1800384.99,High,"Very interested in premium products, please schedule a demo"
taraalvarez@example.net,+91 9389852985,55,46-55,803,Married,2085206.13,High,"Willing to pay for quality service, budget is not a constraint"
travis46@example.org,+91 8043279618,55,46-55,779,Married with Children,1591871.07,High,Expansion plans require robust solution like yours
allenkristina@example.org,+91 7473894460,47,46-55,782,Single Parent,1275371.39,High,"Looking for long-term partnership, not just one-time purchase"
hardinvictor@example.net,+91 6104352123,34,26-35,637,Single,409234.93,Low,Need references from similar companies in our industry
sandovalnicholas@example.net,+91 7731747334,45,36-45,719,Single Parent,385770.1,Low,"Currently happy with existing solution, just exploring"
gary21@example.com,+91 6173772470,48,46-55,669,Single Parent,687832.23,Low,"Not the decision maker, just gathering information"
natalie13@example.org,+91 7632363861,29,26-35,693,Single,706511.39,Low,Comparing features and prices with 2-3 other vendors
jeff06@example.net,+91 7603337503,24,18-25,735,Single,589254.44,Low,"Not the decision maker, just gathering information"
lchurch@example.com,+91 8311932939,38,36-45,776,Married with Children,1232351.67,High,"ROI calculations look promising, let's move forward"
russelljon@example.com,+91 9991543583,34,26-35,696,Single,682024.99,Low,Economic uncertainty makes us cautious about new purchases
gary52@example.net,+91 7190561048,20,18-25,631,Single,411815.69,Low,"Currently happy with existing solution, just exploring"
esingh@example.org,+91 7522884956,40,36-45,794,Single Parent,590805.52,Low,"Not ready to make a decision, still in research phase"
cynthiacampbell@example.net,+91 6179445777,26,26-35,685,Married with Children,1438490.22,Low,"Not the decision maker, just gathering information"
villasteven@example.net,+91 7983700580,40,36-45,820,Married,2094372.99,High,"Very interested in premium products, please schedule a demo"
abigail56@example.com,+91 7540425081,48,46-55,672,Married with Children,1140137.73,Low,Boss asked me to research but no immediate plans
william93@example.org,+91 7023431115,58,56-65,694,Married,1351563.79,High,"ROI calculations look promising, let's move forward"
woodbrittany@example.net,+91 6041328470,21,18-25,621,Married,716097.6,Low,"Price is a major concern, looking for budget-friendly options"
ryan56@example.org,+91 8614336006,37,36-45,718,Married with Children,1606568.91,High,"Looking for long-term partnership, not just one-time purchase"
michael84@example.org,+91 9615923759,38,36-45,700,Married with Children,1429690.44,High,"Willing to pay for quality service, budget is not a constraint"
shaneramsey@example.com,+91 6053043141,41,36-45,820,Married with Children,2666512.56,High,"Very interested in premium products, please schedule a demo"
peteranderson@example.net,+91 9567614273,45,36-45,796,Married,1494849.88,High,"ROI calculations look promising, let's move forward"
richard041@example.com,+91 9674083083,23,18-25,720,Single,496071.34,Low,"Considering options carefully, need more technical details"
alvarezelizabeth@example.org,+91 9384589437,55,46-55,739,Divorced,1498872.06,High,"Very interested in premium products, please schedule a demo"
michele41@example.org,+91 9419674436,34,26-35,628,Single,709984.16,High,"Looking for long-term partnership, not just one-time purchase"
hatfieldnicholas@example.net,+91 8253760745,50,46-55,779,Married,2148691.77,High,Looking for high-quality solutions for my business needs
qcallahan@example.org,+91 9027707260,27,26-35,665,Single,848072.37,Low,"Small business, concerned about ongoing costs"
gstrickland@example.org,+91 8905073519,47,46-55,678,Married with Children,1086187.86,Low,"Not ready to make a decision, still in research phase"
schmitttina@example.com,+91 9226027270,43,36-45,742,Married with Children,963238.51,High,"Had a great experience with your competitor, want to switch"
dweaver@example.net,+91 8994423119,32,26-35,746,Married,1557147.85,Low,"Not the decision maker, just gathering information"
vanessa17@example.org,+91 9886686626,47,46-55,735,Divorced,1564765.36,High,"Current solution is not meeting our needs, exploring alternatives"
adrianrussell@example.org,+91 8467949566,51,46-55,799,Married with Children,1434770.14,High,"Attended your webinar, convinced about the value proposition"
martinezmolly@example.net,+91 8089098937,43,36-45,661,Single Parent,823299.44,Low,Need to focus on core business first before expanding
donaldthomas@example.org,+91 6243844133,39,36-45,758,Single Parent,896815.52,High,Expansion plans require robust solution like yours
gregorymoore@example.org,+91 7168787186,29,26-35,727,Married,1223276.1,High,"Need urgent solution for my project, can we fast-track this?"
thomas28@example.org,+91 9127027598,44,36-45,722,Divorced,709284.18,Low,Need to understand if this is really necessary for us
zoe99@example.com,+91 9799287961,46,46-55,729,Married with Children,1638242.58,High,"Willing to pay for quality service, budget is not a constraint"
smithchristopher@example.net,+91 6378707837,26,26-35,641,Single,997067.76,Low,"Considering options carefully, need more technical details"
shaun13@example.com,+91 8589220531,48,46-55,695,Married with Children,1235783.39,High,"Very interested in premium products, please schedule a demo"
bushsharon@example.com,+91 7646060222,37,36-45,738,Married,1612210.4,High,"My colleague recommended your service, very interested"
mckenziesonya@example.com,+91 8536678902,35,26-35,767,Married with Children,1599595.41,High,Looking for high-quality solutions for my business needs
lucaschan@example.com,+91 9781254748,31,26-35,545,Married,751314.38,Low,"Looking for good value deals, can you provide better pricing?"
fredday@example.net,+91 8822887295,43,36-45,720,Married,1694329.45,High,"My colleague recommended your service, very interested"
sandrasmith@example.com,+91 7105414116,34,26-35,723,Married with Children,1082161.5,Low,"Timeline is flexible, but quality is most important factor"
david57@example.net,+91 8833861173,46,46-55,820,Married,1870043.68,High,Looking for high-quality solutions for my business needs
georgesteven@example.org,+91 8636912434,19,18-25,679,Single,700280.83,Low,Might purchase in the next few months if budget allows
andersonamber@example.org,+91 6402051485,41,36-45,728,Married with Children,953510.86,High,"Looking for long-term partnership, not just one-time purchase"
jacobsoncurtis@example.com,+91 7614835368,41,36-45,754,Married,1068074.11,High,"My colleague recommended your service, very interested"
john19@example.com,+91 8075080707,67,65+,727,Married,801810.43,High,"Current solution is not meeting our needs, exploring alternatives"
kristindixon@example.org,+91 7941172972,28,26-35,713,Married with Children,893698.01,Low,"Evaluating multiple solutions, yours is in top 3 contenders"
keith86@example.com,+91 8571125889,54,46-55,708,Single Parent,1049006.44,High,Ready to make a purchase decision within this week
jessica28@example.org,+91 6682940890,29,26-35,730,Married,1488452.1,Low,Need to focus on core business first before expanding
christopherhicks@example.net,+91 8707457900,43,36-45,656,Single Parent,727844.67,Low,"Timing is not right, maybe next year"
andrewwalker@example.com,+91 9623970665,35,26-35,695,Married with Children,1390203.41,High,"Very interested in premium products, please schedule a demo"
jzavala@example.net,+91 9935534505,41,36-45,450,Married with Children,1613817.33,High,"Impressed with your product features, let's discuss pricing"
nunezjeremy@example.net,+91 9007449299,33,26-35,716,Single,500395.09,High,Comparing different premium options but leaning towards your product
contrerasconnor@example.net,+91 6160144558,43,36-45,820,Married,1484741.53,High,Comparing different premium options but leaning towards your product
pking@example.net,+91 8225662142,28,26-35,667,Married,523134.46,Low,"Just browsing for now, collecting information for future"
acarlson@example.com,+91 9638332029,35,26-35,716,Married with Children,1699795.58,High,Looking for high-quality solutions for my business needs
angela57@example.com,+91 9759712959,31,26-35,667,Married,884736.71,High,"Current solution is not meeting our needs, exploring alternatives"
heidi08@example.com,+91 7855103806,37,36-45,662,Single Parent,872135.64,Low,Need references from similar companies in our industry
barbaradoyle@example.com,+91 7577031772,56,56-65,791,Married,2189447.58,High,Ready to make a purchase decision within this week
dknight@example.net,+91 6104904397,73,65+,820,Married,1244333.39,High,"Current solution is not meeting our needs, exploring alternatives"
michael28@example.net,+91 6581658032,35,26-35,624,Married,525887.74,High,"My colleague recommended your service, very interested"
esmith1@example.net,+91 7017298480,59,56-65,752,Married,1562358.14,High,"My colleague recommended your service, very interested"
pricerobert@example.org,+91 8166157287,58,56-65,820,Divorced,1481722.04,High,"My colleague recommended your service, very interested"
shaunhill@example.com,+91 8049210105,19,18-25,581,Married,659681.23,Low,Boss asked me to research but no immediate plans
millerlucas@example.com,+91 8455144916,56,56-65,804,Divorced,1018982.56,High,"ROI calculations look promising, let's move forward"
odavis@example.com,+91 6359464821,36,36-45,760,Single Parent,1402390.18,High,"Need urgent solution for my project, can we fast-track this?"
evansrachel@example.org,+91 6579987543,73,65+,721,Divorced,423315.44,Low,Budget constraints prevent immediate purchase
michaelreid@example.net,+91 9983178354,49,46-55,661,Single Parent,931771.81,High,Looking for high-quality solutions for my business needs
james69@example.net,+91 7904405460,25,18-25,744,Married,729188.52,Low,Impressed by features but implementation seems complex
daniellesweeney@example.com,+91 7425489922,45,36-45,749,Single Parent,730680.24,High,"Budget approved by management, ready to proceed"
kevin72@example.com,+91 8835166501,31,26-35,609,Married with Children,1003885.08,High,"Impressed with your product features, let's discuss pricing"
schmidtemma@example.org,+91 6869350788,54,46-55,820,Married with Children,3079252.18,High,"Budget approved by management, ready to proceed"
rachelthompson@example.com,+91 9501971983,50,46-55,716,Married,814456.54,Low,"Small business, concerned about ongoing costs"
wangjoshua@example.com,+91 6006137536,26,26-35,731,Married,1204022.95,High,"Need urgent solution for my project, can we fast-track this?"
kylecortez@example.com,+91 6423785118,45,36-45,704,Married with Children,1120235.46,Low,Product looks good but need to understand implementation process
sherisanders@example.org,+91 6566554748,37,36-45,820,Married with Children,2278972.51,High,"Attended your webinar, convinced about the value proposition"
amanda57@example.com,+91 6736222582,43,36-45,752,Married with Children,910121.28,Low,"Too many features, looking for something simpler"
cruzmary@example.net,+91 8274911525,85,65+,713,Single,781768.92,High,"Need urgent solution for my project, can we fast-track this?"
rsmith@example.org,+91 6052324116,21,18-25,541,Married,1067426.71,Low,"Not ready to make a decision, still in research phase"
shannon33@example.org,+91 7422726744,24,18-25,769,Single,654000.22,Low,Economic uncertainty makes us cautious about new purchases
christinemorgan@example.net,+91 9901253864,52,46-55,820,Married with Children,1869052.17,High,Expansion plans require robust solution like yours
michael31@example.com,+91 9162384264,52,46-55,793,Married,2722872.53,High,Expansion plans require robust solution like yours
aliciaperez@example.com,+91 7633756430,30,26-35,659,Single,357721.48,Low,Comparing features and prices with 2-3 other vendors
buckdonald@example.com,+91 8522421338,33,26-35,643,Single,779427.92,Low,Impressed by features but implementation seems complex
swhite1@example.net,+91 8751998681,34,26-35,670,Single,323036.71,Low,Need to understand if this is really necessary for us
ramoscory@example.com,+91 9137396388,29,26-35,707,Married,976020.11,High,"Willing to pay for quality service, budget is not a constraint"
carolinecalderon@example.org,+91 7516037666,32,26-35,677,Married,891598.62,Low,Need to focus on core business first before expanding
christopher78@example.org,+91 9765541571,63,56-65,807,Single,1574657.23,High,"My colleague recommended your service, very interested"
howardjohn@example.org,+91 9600012587,27,26-35,791,Single,670761.5,High,"Attended your webinar, convinced about the value proposition"
nreyes@example.com,+91 9456854628,44,36-45,728,Single Parent,975348.54,High,"Had a great experience with your competitor, want to switch"
fostervalerie@example.com,+91 8671709770,71,65+,820,Married,1811287.92,High,Ready to make a purchase decision within this week
maddoxdavid@example.org,+91 9164983150,32,26-35,740,Married with Children,1086011.58,High,"Need urgent solution for my project, can we fast-track this?"
vincentturner@example.com,+91 7948610275,24,18-25,695,Single,729705.18,Low,"Small business, concerned about ongoing costs"
lopezbrandon@example.org,+91 7327136014,38,36-45,716,Married,803680.3,Low,"Current solution works fine, just checking alternatives"
rodriguezjohn@example.org,+91 6304714521,55,46-55,692,Married with Children,998835.56,Low,"Just browsing for now, collecting information for future"
nathanielperez@example.net,+91 9092070298,74,65+,690,Divorced,360375.75,Low,"Considering options carefully, need more technical details"
dmiller@example.org,+91 8739867050,52,46-55,820,Married with Children,2764782.4,High,"My colleague recommended your service, very interested"
lucasivan@example.net,+91 7674325961,37,36-45,804,Married with Children,1839943.39,High,"Impressed with your product features, let's discuss pricing"
russell62@example.org,+91 6195865861,38,36-45,703,Married with Children,1211136.12,Low,"Timeline is flexible, but quality is most important factor"
nicholas47@example.org,+91 6412578540,81,65+,780,Married,1130169.77,High,"Impressed with your product features, let's discuss pricing"
michael94@example.org,+91 6182518079,38,36-45,742,Single Parent,1245185.38,High,"Need urgent solution for my project, can we fast-track this?"
nriley@example.org,+91 9478857646,21,18-25,686,Single,726675.84,Low,"Heard about your company, wanted to check what you offer"
aaronbauer@example.com,+91 8029960062,26,26-35,565,Married,764273.61,Low,"Too many features, looking for something simpler"
derrickyoung@example.com,+91 8809668552,51,46-55,820,Married with Children,3092979.68,High,"My colleague recommended your service, very interested"
yowens@example.net,+91 6220080229,21,18-25,669,Single,468836.29,Low,"Part of market research, not actively buying"
